favorite_count,full_text,hashtags,retweet_count,year,party_id
19,"b'If Donald Trump wants to see evidence of climate change, he should come down to my district during the king tides and see the dead fish in the streets. #StillIn #ActOnClimate https://t.co/pY9hKZYfaY'",StillIn ActOnClimate,7,2017,D
137,b'Joining @CNNSitRoom shortly to share my thoughts after today\xe2\x80\x99s briefing with CIA Director Haspel on the Khashoggi murder. Will also talk about my push to pass the #FirstStepAct in the Senate. Tune in. #cjreform',FirstStepAct cjreform,30,2018,D
8,b'The @HBCUCaucus looks forward to hosting #HBCU and industry leaders on Capitol Hill tomorrow! We are committed to ensuring equal opportunity for #HBCUs and their students! #HBCUSTEAM #HBCUStrong https://t.co/tEKvhgn3IZ',HBCU HBCUs HBCUSTEAM HBCUStrong,3,2019,D
5,"b""This morning on @AmericaNewsroom, I discussed #Clinton e-mails as well as Rand Paul's irrational rant on #NSA: http://t.co/8FnNOphnpV""",Clinton NSA,2,2015,R
10,b'Our small businesses are hurting. We must act NOW. My Democratic colleagues &amp; I are facing the COVID-19 crisis head on with legislation that expands flexibility in PPP loans to ensure small businesses receive the help they need. #FamiliesFirst',FamiliesFirst,4,2020,D
6,"b""TOMORROW at 5PM PT, I'll be participating in a town hall with #Connecting2Cong, @IDEA_OSU, &amp; local health officials to hear your concerns &amp; answer Qs. Hearing from constituents truly makes me a better a Representative. Hope you sign up below &amp; tune in!\nhttps://t.co/r8S7Zzweoj https://t.co/toSdOJcYBt""",Connecting2Cong,5,2020,D
0,"b'Iowans, tweet your questions, comments and concerns &amp; I\xe2\x80\x99ll answer next week! #AskJoni http://t.co/vXlkLAyoAH'",AskJoni,4,2015,R
43,"b'As the momentum continues to build and research pours in, the time is now to pass my bill, the #OFFAct to transition to a 100% clean energy economy by 2035.'",OFFAct,14,2017,D
16,b'Wonderful to teach such bright students today at Waseca High School. #ThinkBlueAchieveGold #bluejaypride https://t.co/FPAyepprwz',ThinkBlueAchieveGold bluejaypride,2,2017,D
0,"b""I fully support Arizona's attempt to get control of their illegal immigration problem. http://t.co/970VuDI #sayfie #flsen #tcot""",sayfie flsen tcot,3,2011,R
73,"b'Proud to welcome my guest, @Chief_KZiman of @AuroraPoliceIL to the Capitol for the #SOTU tonight! https://t.co/QBMoxZVowF'",SOTU,10,2020,D
21,b'What a great fireworks show! Hope everyone had a safe and fun #FourthofJuly2017 https://t.co/clUid2TdRh',FourthofJuly2017,2,2017,R
29,"b'If you are a #DACA recipient, please know that #HomeIsHere and renew your status today \xe2\xac\x87\xef\xb8\x8f #ToImmigrantsWithLove https://t.co/VdCEiXyKmL'",DACA HomeIsHere ToImmigrantsWithLove,19,2020,D
42,"b'We #LightItUpBlue on #WorldAutismAwarenessDay to celebrate the great contributions of those living with autism, and the advocates that support them. Learn how to get involved in promoting awareness and understanding here: https://t.co/yDdeUQhpXK via @autismspeaks https://t.co/EL2BrrRkfa'",LightItUpBlue WorldAutismAwarenessDay,25,2019,R
39,b'Great to meet with students from @bruinsforisrael at #AIPAC2020. A great conversation. Israel must remain a bipartisan issue. https://t.co/91f2wyGCwJ',AIPAC2020,4,2020,D
8,b'I\xe2\x80\x99ll be flipping back and forth between the @HerdFB &amp; @WVUfootball game tonight. Which one will you be watching at 7? #HailWV #STAMPEDE16',HailWV STAMPEDE16,0,2016,R
5,"b'Suffolk University @USATODAY poll: 65% of Americans oppose cutting funding 2 #PPFA, 73% say #GOPShutdown is wrong. http://t.co/t75tLY3mnM'",PPFA GOPShutdown,7,2015,D
5,"b'At end of sunset period in 10-15 yrs, U.S. is in weaker position to hold #Iran accountable. #67votes stops #BadIranDeal.'",Iran 67votes BadIranDeal,7,2015,R
428,b'Reaction from some Iowa voters to last night\xe2\x80\x99s #DemDebate! https://t.co/Mg72WDin2l',DemDebate,86,2019,D
3,"b'\xe2\x80\x9cThe people I meet across WI are ready to unify, ready to get back to working together to build our communities.\xe2\x80\x9d -RDF #Russ4Us'",Russ4Us,3,2016,D
0,"b'Moving toward energy independence, free markets, and economic growth by passing the #Keystone XL Pipeline Act in the House #TimeToBuild'",Keystone TimeToBuild,0,2015,R
467,"b'My #Jointsession guest is Fauzia Rizvi, a local leader and Muslim activist who is helping to build a better community and stronger America. https://t.co/ibk6dOvOm1'",Jointsession,121,2017,D
41,"b'Proud to have @EnergyCommerce step in to fill the leadership void left by the Trump Admin\xe2\x80\x99s reckless decision to pull out of the #ParisAgreement. Next Thursday, we\'ll hear how cities, states and businesses around the country are stepping up to say, \xe2\x80\x9cI\xe2\x80\x99m still in."" #ActOnClimate https://t.co/tkeKMdpvuc'",ParisAgreement ActOnClimate,24,2019,D
17,b'Good luck to all the runners in the 123rd #BostonMarathon today. The determination and tenacity of the runners is always inspiring and a testament to the resilience of all the people of Boston. A wonderful way to remember and honor those we have lost.',BostonMarathon,2,2019,D
2779,b'It\xe2\x80\x99s a badge of honor for me to be attacked by former Senator David Vitter\xe2\x80\x99s as someone with an \xe2\x80\x9canti-#China &amp; anti-Hikvision agenda\xe2\x80\x9d. \n\nI am proud to be against any nation trying to harm America &amp; against any company trying to help them do it.\n\nhttps://t.co/F3dEOVntoD',China,1380,2019,R
159,b'The GOP health care agenda starts and ends with taking care away from those who need it most. The Supreme Court must act quickly to end this ideological crusade and give families peace of mind. #ProtectOurCare',ProtectOurCare,49,2020,D
12,b'Getting a job with #Census2020 will ensure\n\xe2\x9c\x94\xef\xb8\x8fCompetitive wages\n\xe2\x9c\x94\xef\xb8\x8fWeekly paychecks\n\xe2\x9c\x94\xef\xb8\x8fFlexible hours\nApply to serve in our community now \xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/Zvb97NSb8K',Census2020,6,2020,D
2,b'I paid a visit to @LafargeHolcim today in #Theodore for an update on operations at their cement facility. Enjoyed chatting with some of their employees. https://t.co/FYxWlXvaZM',Theodore,2,2018,R
15,"b""#OTD in 1955, Rosa Parks was arrested for standing up to discrimination \xe2\x80\x93 and sparked a civil rights movement. Let's recommit to honoring her legacy by carrying on her fight for equality and justice for every single person who calls this nation home. https://t.co/yDibdXE8ez""",OTD,2,2019,D
9,b'.@realdonaldtrump &amp; Republicans are trying to take health care away from Americans while @HouseDemocrats are fighting #ForThePeople and their health care. https://t.co/8cVv46uHEf',ForThePeople,10,,D
8,b'Voted for #Thune amdt to enforce completion of the double layer fence on the border. Border security must be part of #Immigration reform.',Thune Immigration,13,2013,R
27,"b'Took a trip around Kansas to visit the field teams from our Salina, Wichita and Johnson County offices! Grateful to these young folks for their work and dedication to Kansas.\n\nJoin us at https://t.co/GeNk1sH1PH\n\n#kssen #ksleg https://t.co/vEgHZ5Ajnw'",kssen ksleg,3,2020,R
15,"b'It has been a year since President Trump turned his back on a promise to protect #DACA, leaving thousands of lives hanging in the balance. I will continue to stand with #DREAMers in Nevada and across the country. #DefendDACA'",DACA DREAMers DefendDACA,4,2018,D
1,"b'On #SuperBowlSunday, Americans will consume 1.3 billion chicken wings, 4.4 million pizzas, &amp; over 70 million pounds of avocados.'",SuperBowlSunday,1,2016,D
6,"b""Completed cleanup of a high-hazard waste site at #Hanford is a testament to commitment of workers + greater Tri-Cities community. Fed gov't is legally + morally obligated to finish the job. #WA04 https://t.co/FcIo9PmPPh""",Hanford WA04,5,2017,R
3910,b'Keep making your voices heard to #DefendDACA. Tell Pres Trump why America is a place where kids should get the chance to pursue their dreams',DefendDACA,1383,2017,D
425,"b'Today marks 6 months since Hurricane Maria made landfall on the island of #PuertoRico and the U.S. Virgin Islands. As we all know, the storm was one of the most powerful and devastating to ever strike those American islands.'",PuertoRico,172,2018,D
19,"b'Calling on Speaker Ryan and House Republicans to bring HR 3440, the Dream Act of 2017, to the floor to #ProtectDREAMers.   #DreamAct2017'",ProtectDREAMers DreamAct2017,8,2017,D
14,"b'Whether through social media, President Trump, or Vladimir Putin, the spread of misinformation has created what the World Health Organization calls an \xe2\x80\x9cinfodemic.\xe2\x80\x9d For accurate, localized information on #COVID19, be sure to follow @CoCoHealth. https://t.co/TqaxDQubM3'",COVID19,4,2020,D
7,"b'When facing a public health emergency such as #COVID19, access to health care can mean the difference between getting or foregoing lifesaving medical treatment. The #AffordableCareAct was passed 10 years ago and gave 20 million Americans health coverage...'",COVID19 AffordableCareAct,3,2020,D
5,b'Thanks @AstroMarshburn for taking time from orbiting the earth to inspire hundreds of kids at the Broward #STEM Expo http://t.co/xCUPSPUWwm',STEM,4,2015,D
24,"b'Lifting sanctions on Turkey is the latest in a series of impulsive &amp; dangerous decisions related to #Syria. The President is once again acting as Putin\xe2\x80\x99s puppet, making foreign policy decisions that benefit #Russia while harming our allies &amp; further destabilizing the Middle East.'",Syria Russia,3,2019,D
